Code_INSEE;Code_Postal;Commune;Departement;Region;Latitude;Longitude
66099;66300;LLAURO;PYRENEES-ORIENTALES;LANGUEDOC-ROUSSILLON;42.546017215515995;2.744372341457993
29263;29590;SAINT-SEGAL;FINISTERE;BRETAGNE;48.23599446849468;-4.077200370549652
74175;74500;MEILLERIE;HAUTE-SAVOIE;RHONE-ALPES;46.40068696946918;6.731721426225717
14580;14140;SAINT-GEORGES-EN-AUGE;CALVADOS;BASSE-NORMANDIE;48.98846383531471;0.07087065266178101
72292;72320;SAINT-JEAN-DES-ECHELLES;SARTHE;PAYS DE LA LOIRE;48.13096468257221;0.7332097257880941
32396;32700;SAINT-MEZARD;GERS;MIDI-PYRENEES;44.03383681577162;0.5689342257501431
34343;34380;VIOLS-LE-FORT;HERAULT;LANGUEDOC-ROUSSILLON;43.736757302594924;3.692203245965509
59342;59740;LEZ-FONTAINE;NORD;NORD-PAS-DE-CALAIS;50.17338328055412;4.063090657690384
88194;88170;GEMMELAINCOURT;VOSGES;LORRAINE;48.2742122102213;5.9670977861938965
88388;88390;RENAUVOID;VOSGES;LORRAINE;48.14276485269622;6.381761510442601
24574;24370;VEYRIGNAC;DORDOGNE;AQUITAINE;44.82286605343106;1.325452098920066
62453;62310;HEZECQUES;PAS-DE-CALAIS;NORD-PAS-DE-CALAIS;50.53419093063511;2.191827738218877
52440;52300;ROUVROY-SUR-MARNE;HAUTE-MARNE;CHAMPAGNE-ARDENNE;48.36003691840665;5.109476470530543
58197;58190;NUARS;NIEVRE;BOURGOGNE;47.388402075042286;3.709626627818518
62261;62780;CUCQ;PAS-DE-CALAIS;NORD-PAS-DE-CALAIS;50.48613716511695;1.612940603500499
45020;45130;LE BARDON;LOIRET;CENTRE;47.84198060686429;1.64858410606469
78531;78710;ROSNY-SUR-SEINE;YVELINES;ILE-DE-FRANCE;48.99642266327137;1.6082007739153799
19260;19120;SIONIAC;CORREZE;LIMOUSIN;44.977691853286295;1.8001089138166
81133;81120;LAMILLARIE;TARN;MIDI-PYRENEES;43.85501808706743;2.157866614977687
23131;23420;MERINCHAL;CREUSE;LIMOUSIN;45.908405740931755;2.494216735842355
51249;51700;FESTIGNY;MARNE;CHAMPAGNE-ARDENNE;49.028292303230245;3.7672965270312213
57367;57920;KLANG;MOSELLE;LORRAINE;49.31873295394527;6.370458803164432
84040;84110;CRESTET;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;44.209751913215754;5.085974870169297
62664;62111;POMMIER;PAS-DE-CALAIS;NORD-PAS-DE-CALAIS;50.18130836973335;2.595125130555775
52426;52330;RIZAUCOURT-BUCHEY;HAUTE-MARNE;CHAMPAGNE-ARDENNE;48.27442165657361;4.8692477222296064
71170;71150;DEMIGNY;SAONE-ET-LOIRE;BOURGOGNE;46.91451806687114;4.84793098635582
64342;64560;LICQ-ATHEREY;PYRENEES-ATLANTIQUES;AQUITAINE;43.05543460578817;-0.878812992130198
24365;24380;SAINT-AMAND-DE-VERGT;DORDOGNE;AQUITAINE;44.99394038503305;0.695744310752872
30221;30150;ROQUEMAURE;GARD;LANGUEDOC-ROUSSILLON;44.0414756861569;4.756570125102899
63177;63270;ISSERTEAUX;PUY-DE-DOME;AUVERGNE;45.65314080896208;3.381117453859689
60011;60310;AMY;OISE;PICARDIE;49.641408120098774;2.833950918078334
70417;70360;PONTCEY;HAUTE-SAONE;FRANCHE-COMTE;47.628382629232675;6.032046446349836
39173;39190;COUSANCE;JURA;FRANCHE-COMTE;46.53335274448697;5.377416447442668
86106;86200;GLENOUZE;VIENNE;POITOU-CHARENTES;47.0077939259772;-0.004365887896906001
24515;24160;SALAGNAC;DORDOGNE;AQUITAINE;45.31556978732609;1.2118771373212711
92024;92110;CLICHY;HAUTS-DE-SEINE;ILE-DE-FRANCE;48.90353591392884;2.305752304517755
80700;80960;SAINT-BLIMONT;SOMME;PICARDIE;50.12065575047885;1.565125997116553
67511;67360;WALBOURG;BAS-RHIN;ALSACE;48.8857093075461;7.782796995882598
64358;64420;LUCGARIER;PYRENEES-ATLANTIQUES;AQUITAINE;43.232047556500184;-0.194294488172627
